index;code;country;gamma;GDPSH60;LIFEE060;P60; safrica ; laam; bmp1 ; BMS6087; GDC6089; STDC6089; PI6089; STPI6089; SCOUT; area ; freeop; freetar; dpop6090; pyr60; syr60; hyr60; human60; s60; h60 ; YrsOpen; ggcfd3; gvxdxe52; geerec1; gde1; assassp2; revcoup; pinstab2; wardum; prightsb; civlibb; ABSLATIT; FRAC; DEMOC65; PRIEXP70; RULELAW; URB60; RERD; EQINV; NONEQINV; humanyl ; tot1; work60l; lly1; BRIT; FRENCH; SPAIN; BUDDHA; CATH; CONFUC; HINDU; JEW; MUSLIM; PROT; lforce60; Mining; EcOrg; OthFrac; EngFrac
91;JOR;Jordan;0,02;7,04;47,20;0,77;0,00;0,00;0,02;3,59;32,19;51,34;7,54;6,58;0,00;89,00;0,26;0,05;0,03;1,04;0,33;0,03;1,40;0,25;0,01;0,67;0,08;0,02;0,03;0,17;0,00;0,20;0,10;1,00;5,72;5,67;31,60;0,05;0,31;0,84;0,17;0,43;116,00;0,03;0,14;9,83;0,00;-1,35;0,33;1,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,92;0,04;439,01;0,04;5,00;1,00;0,00
92;KOR;Korea;0,07;6,78;54,20;0,94;0,00;0,00;0,60;28,20;34,56;24,75;14,93;8,56;1,00;99,00;0,23;0,03;0,02;2,48;0,66;0,09;3,23;0,27;0,05;0,60;0,05;0,06;0,04;0,05;0,00;0,40;0,10;0,00;4,44;5,17;37,55;0,00;0,53;0,23;0,50;0,28;110,00;0,06;0,16;21,92;0,02;-1,08;0,12;0,00;0,00;0,00;0,16;0,12;0,60;0,00;0,00;0,00;0,12;8453,51;0,01;3,00;0,00;0,00
93;KWT;Kuwait;;;59,80;1,00;0,00;0,00;0,00;1,61;;;11,64;34,75;0,00;18,00;0,27;0,01;0,07;1,22;0,33;0,04;1,60;0,37;0,00;;0,05;;0,02;0,01;0,00;0,08;0,17;0,00;5,00;4,00;29,33;0,18;;0,95;0,17;0,72;;;;;-0,01;-0,92;0,26;1,00;0,00;0,00;0,00;0,04;0,00;0,04;0,00;0,85;0,04;111,20;0,31;2,00;0,89;0,00
94;MYS;Malaysia;0,04;7,23;54,30;0,96;0,00;0,00;0,02;2,15;20,44;14,29;2,81;5,97;1,00;330,00;0,19;0,02;0,03;1,84;0,44;0,05;2,34;0,19;0,01;1,00;0,07;0,07;0,03;0,02;0,00;0,04;0,00;0,00;3,11;4,06;3,27;0,72;0,80;0,93;0,67;0,25;88,00;0,04;0,19;16,89;-0,03;-1,06;0,28;1,00;0,00;0,00;0,27;0,01;0,01;0,07;0,00;0,54;0,02;2817,25;0,10;5,00;0,31;0,00
95;NPL;Nepal;0,01;6,40;38,50;0,10;0,00;0,00;0,21;37,31;;;;;0,00;141,00;0,24;0,02;0,02;0,05;0,01;0,00;0,07;0,06;0,01;0,09;0,03;0,24;0,00;0,00;0,00;0,08;0,00;0,00;4,33;4,44;27,71;0,70;0,29;0,65;;0,03;73,00;0,01;0,05;0,46;;-0,71;0,06;0,00;0,00;0,00;0,05;0,00;0,00;0,90;0,00;0,03;0,00;4615,48;0,00;5,00;0,00;0,00
96;OMN;Oman;;;40,30;;0,00;0,00;0,00;0,00;;93,29;12,83;40,71;0,00;212,00;;;0,04;;;;;;0,00;0,42;;;;;;0,60;;0,00;6,22;6,00;20,44;;;1,00;0,50;0,04;129,00;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;0,41;3,00;0,62;0,00
97;PAK;Pakistan;0,03;6,43;43,30;0,30;0,00;0,00;0,61;35,22;15,51;7,30;7,49;6,06;0,00;796,00;0,17;0,06;0,03;0,46;0,16;0,01;0,63;0,11;0,01;0,00;0,07;0,10;0,02;0,03;0,01;0,32;0,00;1,00;4,94;4,78;31,17;0,64;0,63;0,43;0,17;0,22;77,00;0,01;0,11;4,04;0,00;-1,07;0,32;1,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,97;0,01;17144,56;0,01;3,00;0,00;0,00
98;PHL;Philippines;0,01;7,01;53,10;0,95;0,00;0,00;0,34;20,98;16,38;13,15;11,16;9,61;0,00;300,00;0,18;0,04;0,03;3,02;0,55;0,20;3,78;0,26;0,13;0,16;0,02;0,09;0,02;0,01;0,00;0,44;0,00;1,00;4,28;4,28;13,92;0,74;0,93;0,92;0,17;0,30;92,00;0,03;0,12;26,48;0,03;-0,96;0,22;0,00;0,00;0,00;0,02;0,83;0,00;0,00;0,00;0,05;0,09;10517,28;0,02;3,00;0,01;0,00
99;SAU;Saudi Arabia;;;44,70;0,12;0,00;0,00;0,02;1,82;;;9,92;25,49;1,00;2150,00;0,14;0,01;0,04;;;;;0,02;0,00;0,45;0,04;;0,03;0,05;0,00;0,12;0,10;0,00;6,06;6,33;23,07;0,06;0,10;1,00;0,17;0,30;;;;;-0,01;-1,27;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1147,93;0,22;3,00;0,99;0,00
100;SGP;Singapore;0,06;7,41;63,70;1,00;0,00;0,00;0,02;1,79;24,37;24,63;3,27;4,03;1,00;1,00;0,32;0,01;0,02;1,92;1,06;0,00;2,99;0,32;0,06;1,00;0,05;0,01;0,03;0,00;0,00;0,00;0,00;0,00;4,50;4,94;1,36;0,42;0,77;0,69;1,00;1,00;87,00;0,15;0,17;22,13;;-1,11;;1,00;0,00;0,00;0,46;0,00;0,15;0,06;0,00;0,15;0,00;536,77;0,00;4,00;0,71;0,09
101;LKA;Sri Lanka;0,02;7,14;62,30;0,95;0,00;0,00;0,87;268,47;17,17;14,37;8,61;7,53;1,00;66,00;0,23;0,06;0,02;2,39;1,02;0,01;3,43;0,27;0,01;0,40;0,06;0,16;0,04;0,01;0,00;0,08;0,00;1,00;2,44;3,44;6,87;0,47;0,86;0,99;0,33;0,18;51,00;0,01;0,14;24,48;-0,08;-1,02;0,32;1,00;0,00;0,00;0,69;0,04;0,00;0,15;0,00;0,08;0,04;3550,15;0,01;2,00;0,00;0,01
102;SYR;Syria;0,03;7,33;50,00;0,65;0,00;0,00;0,11;110,81;18,88;14,40;9,36;9,61;0,00;185,00;0,25;0,04;0,03;0,87;0,11;0,02;0,99;0,16;0,04;0,33;0,09;0,01;0,03;0,08;0,00;0,85;0,20;1,00;5,83;6,67;33,46;0,22;0,20;0,91;0,17;0,37;78,00;;;7,29;0,01;-1,28;;0,00;1,00;0,00;0,00;0,05;0,00;0,00;0,00;0,90;0,05;1263,85;0,08;1,00;0,80;0,00
103;OAN;Taiwan;0,06;7,21;65,40;0,96;0,00;0,00;0,15;0,00;;;;;1,00;36,00;0,25;0,02;0,02;2,43;0,68;0,13;3,24;0,51;0,05;0,71;0,08;0,16;0,01;0,10;0,00;0,05;0,00;0,00;5,17;4,67;25,26;0,42;0,23;0,16;1,00;0,29;116,00;0,05;0,16;23,37;0,01;-1,09;;0,00;0,00;0,00;0,31;0,02;0,31;0,00;0,00;0,00;0,02;3617,48;0,02;3,00;0,99;0,00
104;THA;Thailand;0,05;6,83;52,70;0,83;0,00;0,00;0,03;4,56;18,90;10,20;4,94;5,51;0,00;513,00;0,18;0,05;0,03;3,20;0,23;0,02;3,45;0,13;0,02;1,00;0,03;0,07;0,02;0,03;0,00;0,44;0,00;1,00;3,94;3,78;13,77;0,66;0,17;0,92;0,50;0,13;75,00;0,02;0,16;23,56;-0,02;-0,67;0,24;0,00;0,00;0,00;0,95;0,00;0,00;0,00;0,00;0,04;0,01;13441,45;0,02;3,00;0,02;0,00
105;ARE;Unit'd Arab Emir;;;53,40;;0,00;0,00;;;;;;;;;;;0,10;;;;;;0,00;;;;;;;0,22;;;5,33;5,00;23,39;;;0,96;0,17;0,40;;;;;;;;1,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,96;0,01;;0,34;3,00;0,29;0,00
106;YEM;Yemen, NArab;;;37,40;0,08;0,00;0,00;;;;71,84;12,80;5,66;0,00;195,00;0,22;0,03;0,03;;0,04;0,01;;0,00;0,00;1,00;0,03;;;;0,39;0,52;0,60;0,00;5,44;4,78;15,23;0,02;0,06;1,00;0,17;0,03;131,00;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;0,01;3,00;0,90;0,00
107;AUT;Austria;0,03;8,55;68,80;1,00;0,00;0,00;0,00;0,00;12,66;4,23;4,89;1,76;0,00;84,00;0,36;0,02;0,00;3,10;0,48;0,07;3,65;0,50;0,08;0,78;0,04;0,09;0,02;0,01;0,00;0,00;0,00;0,00;1,00;1,00;48,23;0,13;0,97;0,20;1,00;0,50;100,00;0,10;0,13;31,21;0,01;-0,73;0,56;0,00;0,00;0,00;0,00;0,85;0,00;0,00;0,00;0,00;0,06;3384,45;0,00;4,00;0,98;0,00
108;BEL;Belgium;0,03;8,62;69,70;1,00;0,00;0,00;0,00;0,00;11,60;3,25;5,11;2,72;1,00;31,00;0,42;0,01;0,00;5,81;1,40;0,14;7,36;0,69;0,09;0,78;0,03;0,04;0,05;0,04;0,00;0,00;0,00;0,00;1,00;1,00;50,84;0,55;1,00;0,24;1,00;0,66;100,00;0,06;0,17;63,48;0,00;-0,95;0,60;0,00;0,00;0,00;0,00;0,75;0,00;0,00;0,00;0,00;0,13;3525,74;0,00;5,00;0,34;0,00
109;CYP;Cyprus;0,05;7,62;68,80;1,00;0,00;0,00;0,03;3,02;15,03;10,83;5,90;4,12;0,00;9,00;0,33;0,03;0,01;3,58;0,66;0,05;4,29;0,47;0,01;1,00;0,03;0,09;0,01;0,02;0,00;0,12;0,00;1,00;2,11;2,83;35,08;0,35;0,87;0,84;0,33;0,36;92,00;0,06;0,26;32,71;0,00;-0,89;0,48;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,00;234,99;0,00;5,00;0,00;0,00
110;DNK;Denmark;0,02;8,82;72,20;1,00;0,00;0,00;0,00;0,00;11,94;6,50;7,79;2,35;0,00;43,00;0,36;0,01;0,00;7,70;1,20;0,48;9,38;0,65;0,10;0,78;0,05;0,07;0,03;0,03;0,00;0,00;0,00;0,00;1,00;1,00;55,72;0,05;1,00;0,46;1,00;0,74;112,00;0,07;0,19;82,74;0,01;-0,78;0,48;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,92;2092,14;0,01;4,00;0,00;0,00
111;FIN;Finland;0,03;8,59;68,50;0,97;0,00;0,00;0,00;0,00;15,38;6,26;8,37;4,13;0,00;338,00;0,28;0,02;0,00;7,08;0,24;0,13;7,45;0,74;0,07;0,78;0,04;0,05;0,04;0,02;0,00;0,00;0,00;0,00;1,83;1,94;60,21;0,16;0,97;0,33;1,00;0,38;126,00;0,12;0,25;63,98;0,01;-0,78;0,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,89;2024,07;0,00;4,00;0,00;0,00
112;FRA;France;0,03;8,70;70,40;1,00;0,00;0,00;0,00;0,00;16,00;12,33;7,13;3,30;0,00;552,00;0,29;0,01;0,01;3,46;0,53;0,06;4,06;0,46;0,08;0,80;0,03;0,05;0,02;0,06;0,00;0,00;0,00;0,00;1,00;1,86;48,86;0,26;0,91;0,25;1,00;0,62;98,00;0,08;0,18;35,28;0,01;-0,84;0,50;0,00;0,00;0,00;0,00;0,90;0,00;0,00;0,01;0,01;0,02;19740,06;0,00;4,00;1,00;0,00
113;DEU;Germany, West;0,03;8,80;69,40;1,00;0,00;0,00;0,00;0,00;10,32;4,63;4,03;1,76;1,00;249,00;0,30;0,01;0,00;7,17;0,39;0,06;7,62;0,53;0,06;0,80;0,04;0,06;0,02;0,05;0,00;0,08;0,00;0,00;1,00;1,64;48,16;0,03;0,89;0,11;1,00;0,77;109,00;0,08;0,21;67,10;0,04;-0,75;0,42;0,00;0,00;0,00;0,00;0,37;0,00;0,00;0,00;0,00;0,45;26175,46;0,00;5,00;0,95;0,00
114;GRC;Greece;0,04;7,63;68,80;1,00;0,00;0,00;0,01;3,59;20,22;5,84;11,54;7,61;0,00;132,00;0,29;0,01;0,01;3,83;0,49;0,10;4,41;0,37;0,04;0,80;0,07;0,04;0,01;0,04;0,00;0,20;0,20;1,00;1,94;2,22;38,06;0,10;0,83;0,65;0,50;0,43;116,00;0,07;0,23;33,70;0,02;-0,90;0,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;3384,93;0,02;4,00;0,00;0,00
115;HUN;Hungary;;;68,40;1,00;0,00;0,00;3,31;;;;;;;;;;;6,16;0,36;0,13;6,65;;;0,11;0,25;;;;;0,00;;;5,67;5,06;47,42;;0,12;0,32;;0,40;;;;;;;;0,00;0,00;0,00;0,00;0,68;0,00;0,00;0,00;0,00;0,25;;0,04;1,00;0,00;0,00
116;ISL;Iceland;0,03;8,55;;1,00;0,00;0,00;;0,00;34,86;23,35;28,28;17,47;0,00;103,00;;;0,01;4,84;0,72;0,12;5,68;0,61;0,07;0,82;0,05;;0,02;;0,00;0,00;0,00;0,00;1,00;1,00;63,89;0,05;1,00;0,96;1,00;0,80;64,00;;;48,56;0,06;-0,94;0,39;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,98;69,01;0,01;5,00;0,00;0,00
117;IRL;Ireland;0,03;8,05;69,70;1,00;0,00;0,00;0,00;0,00;15,00;8,62;9,39;5,69;1,00;70,00;0,35;0,01;0,01;4,88;1,44;0,13;6,45;0,35;0,08;0,64;0,04;0,07;0,03;0,01;0,00;0,00;0,00;0,00;1,00;1,22;54,61;0,04;0,97;0,59;0,83;0,46;119,00;0,07;0,19;51,93;0,00;-0,93;0,62;1,00;0,00;0,00;0,00;0,93;0,00;0,00;0,00;0,00;0,03;1118,86;0,01;5,00;0,00;0,74
118;ITA;Italy;0,03;8,45;69,40;1,00;0,00;0,00;0,00;0,00;15,93;6,66;10,19;6,06;1,00;301,00;0,29;0,01;0,00;3,65;0,85;0,07;4,56;0,34;0,07;0,80;0,02;0,06;0,03;0,03;0,00;0,04;0,00;0,00;1,22;1,56;45,42;0,04;0,97;0,17;0,83;0,59;92,00;0,06;0,19;38,52;-0,01;-0,88;0,66;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;20722,56;0,00;3,00;0,01;0,00
119;LUX;Luxembourg;0,02;9,02;;1,00;0,00;0,00;0,00;0,00;;;5,06;4,87;0,00;3,00;;;0,01;;;;;0,29;0,01;0,80;0,04;0,05;0,02;0,01;0,00;0,00;0,00;0,00;1,28;1,00;49,78;0,15;0,98;;1,00;0,62;91,00;;;;;-0,87;;0,00;0,00;0,00;0,00;0,97;0,00;0,00;0,01;0,00;0,02;131,57;0,00;5,00;0,00;0,00
120;MLT;Malta;0,05;7,20;;1,00;0,00;0,00;;0,00;16,12;19,34;2,98;3,10;0,00;0,50;;;0,00;4,30;0,73;0,09;5,11;0,21;0,02;0,47;0,06;;0,04;;0,00;0,00;0,00;0,00;1,56;2,39;35,89;0,08;;0,21;0,33;0,70;79,00;;;36,84;;-1,24;1,60;1,00;0,00;0,00;0,00;0,98;0,00;0,00;0,00;0,00;0,00;95,02;0,04;2,00;0,00;0,00
121;NLD;Netherlands;0,02;8,72;73,30;1,00;0,00;0,00;0,00;0,00;12,30;5,64;5,26;3,11;1,00;37,00;0,37;0,01;0,01;4,82;0,50;0,04;5,36;0,58;0,13;0,80;0,07;0,03;0,04;0,04;0,00;0,00;0,00;0,00;1,00;1,00;51,87;0,10;1,00;0,43;1,00;0,80;105,00;0,08;0,18;46,77;0,00;-1,04;0,61;0,00;0,00;0,00;0,00;0,36;0,00;0,00;0,00;0,00;0,27;4073,10;0,03;4,00;0,00;0,00
122;NOR;Norway;0,03;8,64;73,40;1,00;0,00;0,00;0,00;0,00;12,01;4,83;6,52;3,62;0,00;324,00;0,29;0,00;0,01;4,83;0,74;0,05;5,63;0,57;0,07;0,78;0,09;0,04;0,03;0,03;0,00;0,00;0,00;0,00;1,00;1,00;59,98;0,04;1,00;0,45;1,00;0,32;107,00;0,10;0,19;48,61;0,01;-0,93;0,53;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,90;1405,90;0,08;4,00;0,00;0,00
123;POL;Poland;;;67,30;1,00;0,00;0,00;3,17;;;;;;;;;;;5,97;0,65;0,12;6,74;0,39;0,07;0,11;;;;;;0,00;;;5,72;5,06;50,24;;0,22;0,33;;0,48;;;;;;;;0,00;0,00;0,00;0,00;0,95;0,00;0,00;0,00;0,00;0,02;;0,04;1,00;0,04;0,00
124;PRT;Portugal;0,04;7,53;63,70;1,00;0,00;0,00;0,00;6,78;18,96;9,59;12,20;8,53;0,00;92,00;0,30;0,01;0,01;1,62;0,28;0,03;1,94;0,20;0,04;0,78;0,09;0,05;0,01;0,06;0,00;0,28;0,00;0,00;2,22;2,39;38,82;0,01;0,39;0,36;1,00;0,22;92,00;0,06;0,17;14,60;;-0,97;0,69;0,00;0,00;0,00;0,00;0,97;0,00;0,00;0,00;0,00;0,01;3354,76;0,03;4,00;1,00;0,00
125;ESP;Spain;0,04;8,06;68,90;1,00;0,00;0,00;0,00;0,00;17,77;4,88;10,58;5,16;0,00;505,00;0,24;0,01;0,01;3,10;0,31;0,03;3,43;0,23;0,04;0,78;0,03;0,05;0,01;0,02;0,00;0,08;0,00;0,00;2,39;2,89;37,40;0,44;0,10;0,47;0,83;0,57;89,00;0,05;0,13;27,64;0,01;-0,97;0,60;0,00;0,00;0,00;0,00;0,99;0,00;0,00;0,00;0,00;0,00;11563,76;0,01;5,00;0,73;0,00
126;SWE;Sweden;0,02;8,92;73,20;0,96;0,00;0,00;0,00;0,00;11,48;4,06;7,18;3,49;0,00;450,00;0,27;0,01;0,00;5,12;2,23;0,23;7,58;0,55;0,09;0,78;0,05;0,08;0,04;0,04;0,00;0,00;0,00;0,00;1,06;1,00;59,28;0,08;1,00;0,25;1,00;0,73;142,00;0,05;0,19;67,64;0,00;-0,83;;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,95;3271,75;0,00;4,00;0,00;0,00
127;CHE;Switzerland;0,02;9,17;71,30;1,00;0,00;0,00;0,00;0,00;8,89;4,64;4,50;2,27;1,00;41,00;0,38;0,00;0,01;5,07;1,50;0,29;6,87;0,26;0,07;1,00;;0,01;0,03;0,03;0,00;0,00;0,00;0,00;1,00;1,00;47,41;0,50;1,00;0,10;1,00;0,51;127,00;0,05;0,24;62,98;0,01;-0,76;1,02;0,00;0,00;0,00;0,00;0,48;0,00;0,00;0,00;0,00;0,44;2505,13;0,03;5,00;0,84;0,00
128;TUR;Turkey;0,03;7,37;50,50;0,75;0,00;0,00;0,75;20,27;35,37;22,73;27,96;24,58;0,00;779,00;0,21;0,03;0,02;1,69;0,23;0,02;1,95;0,14;0,03;0,13;0,09;0,03;0,03;0,05;0,00;0,31;0,00;1,00;3,33;3,89;41,20;0,25;0,76;0,91;0,50;0,30;99,00;0,04;0,16;14,34;;-0,68;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;13963,57;0,02;3,00;0,01;0,00
129;GBR;United Kingdom;0,02;8,78;70,80;0,92;0,00;0,00;0,00;0,00;15,42;14,76;8,31;5,82;1,00;245,00;0,28;0,01;0,00;6,77;0,91;0,06;7,74;0,66;0,09;0,78;0,08;0,08;0,03;0,06;0,00;0,24;0,00;0,00;1,00;1,00;51,51;0,32;0,99;0,17;1,00;0,86;99,00;0,07;0,12;67,94;0,01;-0,77;0,37;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,01;0,00;0,84;24232,53;0,02;4,00;0,00;0,97
130;YUG;Yugoslavia;0,03;7,58;63,30;1,00;0,00;0,00;1,92;;;;;;;;;;0,01;3,88;0,31;0,05;4,24;0,34;0,09;0,00;0,18;0,09;;0,07;0,01;0,00;0,01;;5,89;5,22;43,77;;0,51;0,40;0,50;0,28;;;;32,14;;-0,79;;0,00;0,00;0,00;0,00;0,70;0,00;0,00;0,00;0,18;0,01;8358,19;0,03;1,00;0,00;0,00
131;AUS;Australia;0,02;8,97;70,70;1,00;0,00;0,00;0,00;0,00;13,52;8,07;7,36;4,33;0,00;7687,00;;;0,02;6,35;2,46;0,11;8,93;0,51;0,13;0,69;0,09;0,03;0,02;0,03;0,02;0,00;0,01;0,00;1,00;1,00;32,22;0,32;1,00;0,81;1,00;0,81;129,00;0,09;0,22;80,12;0,01;-0,90;0,50;1,00;0,00;0,00;0,00;0,26;0,00;0,00;0,00;0,00;0,50;4185,83;0,04;5,00;0,00;0,95
132;FJI;Fiji;0,02;7,63;59,20;0,85;0,00;0,00;;5,48;18,26;22,42;7,07;7,41;0,00;18,00;;;0,02;4,32;0,40;0,22;4,94;0,15;0,00;0,34;0,05;;0,01;;;0,00;;0,00;2,61;2,39;17,83;;;0,98;;0,30;93,00;;;37,65;;-1,29;0,28;1,00;0,00;0,00;0,00;0,09;0,00;0,38;0,00;0,08;0,43;108,98;0,04;5,00;0,00;0,01
133;NZL;New Zealand;0,01;8,98;71,00;1,00;0,00;0,00;0,00;0,00;14,99;14,62;9,31;5,85;0,00;269,00;0,15;0,02;0,01;7,25;2,26;0,10;9,61;0,73;0,13;0,20;0,07;0,07;0,03;0,02;0,00;0,00;0,00;0,00;1,00;1,00;36,89;0,37;1,00;0,89;1,00;0,76;101,00;;;86,31;0,02;-0,99;0,27;1,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00;0,00;0,52;884,04;0,01;5,00;0,00;0,90
134;PNG;Papua New Guinea;0,01;7,00;41,00;0,32;0,00;0,00;;;;13,86;5,67;5,50;1,00;463,00;0,21;0,02;0,02;1,23;0,11;0,01;1,35;0,01;0,00;0,00;0,10;0,38;0,02;0,01;;0,00;;0,00;2,31;2,00;6,60;0,42;;0,97;0,67;0,03;105,00;0,03;0,13;9,46;-0,02;-0,62;;0,00;0,00;0,00;0,00;0,22;0,00;0,00;0,00;0,00;0,44;1036,61;0,19;5,00;0,00;0,01
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
